prediction,w_ace,winner_name,loser_name,loser_ht,winner_ht,avg_aces_surface,winner_rank,loser_rank,surface
3.1587544247792074,1.0,Albert Costa,Felix Mantilla,180,180,3.049618320610687,26,84,Clay
3.283141336964329,3.0,Albert Costa,Marcelo Rios,175,180,3.049618320610687,26,13,Clay
2.941545081969033,0.0,Albert Costa,Sjeng Schalken,193,180,3.049618320610687,15,67,Clay
3.1941718992087034,3.0,Albert Costa,Felix Mantilla,180,180,3.049618320610687,18,23,Clay
3.1563499516461184,0.0,Albert Costa,Fernando Vicente,180,180,3.049618320610687,19,99,Clay
3.301968715735349,5.0,Albert Costa,Galo Blanco,173,180,3.049618320610687,19,58,Clay
3.059764626882388,0.0,Albert Costa,Oliver Gross,185,180,3.049618320610687,26,103,Clay
3.094441456006801,1.0,Albert Costa,Wayne Ferreira,185,180,3.049618320610687,26,32,Clay
3.0394990260821078,7.0,Albert Costa,Bohdan Ulihrach,188,180,3.049618320610687,13,53,Clay
3.287257492719442,2.0,Albert Costa,Arnaud Clement,173,180,3.049618320610687,17,91,Clay
3.130384530926817,2.0,Albert Costa,Vincent Spadea,183,180,3.049618320610687,28,29,Clay
3.273255132692748,2.0,Albert Costa,Hicham Arazi,175,180,3.049618320610687,22,39,Clay
3.17985248345413,2.0,Albert Costa,Fernando Vicente,180,180,3.049618320610687,21,48,Clay
2.9985162502436298,1.0,Albert Costa,Jiri Novak,190,180,3.049618320610687,14,62,Clay
3.0327794248574906,6.0,Albert Costa,Jerome Golmard,188,180,3.049618320610687,17,61,Clay
3.026059823632874,2.0,Albert Costa,Albert Portas,188,180,3.049618320610687,21,69,Clay
2.9964656646445076,4.0,Albert Costa,Federico Luzzi,188,180,3.049618320610687,36,108,Clay
3.291127546624975,6.0,Albert Costa,Gaston Gaudio,175,180,3.049618320610687,7,24,Clay
2.6782184841584864,3.0,Albert Costa,Nenad Zimonjic,190,180,3.049618320610687,9,725,Clay
3.3204476191030454,10.0,Albert Costa,Arnaud Clement,173,180,3.049618320610687,8,36,Clay
3.0990678650551384,9.0,Albert Costa,Radek Stepanek,185,180,3.049618320610687,9,47,Clay
3.3197445308849027,11.0,Albert Costa,Arnaud Clement,173,180,3.049618320610687,9,36,Clay
3.127287167919342,5.0,Albert Costa,Felix Mantilla,180,180,3.049618320610687,52,111,Clay
6.258983535159281,8.0,Albert Costa,Michael Chang,175,180,6.0,17,6,Grass
4.938775201772899,0.0,Albert Costa,Bohdan Ulihrach,188,180,4.896907216494846,13,41,Hard
5.218322404570664,3.0,Albert Costa,Wayne Black,170,180,4.896907216494846,15,127,Hard
4.943600220517225,3.0,Albert Costa,Sergi Bruguera,188,180,4.896907216494846,11,34,Hard
4.973183093240555,6.0,Albert Costa,Johan Van Herck,185,180,4.896907216494846,17,75,Hard
5.059104011340682,1.0,Albert Costa,Sargis Sargsian,180,180,4.896907216494846,21,77,Hard
5.089658909938912,2.0,Albert Costa,Felix Mantilla,180,180,4.896907216494846,22,13,Hard
5.070611074222685,4.0,Albert Costa,Andrew Ilie,180,180,4.896907216494846,22,52,Hard
4.824451618946555,7.0,Albert Costa,Goran Ivanisevic,193,180,4.896907216494846,23,77,Hard
4.950405134259479,9.0,Albert Costa,Michel Kratochvil,185,180,4.896907216494846,23,113,Hard
5.0955730493916445,2.0,Albert Costa,Paul Goldstein,178,180,4.896907216494846,16,83,Hard
5.066746795088222,11.0,Albert Costa,Felix Mantilla,180,180,4.896907216494846,40,34,Hard
5.180694643131382,5.0,Albert Costa,Guillermo Coria,175,180,4.896907216494846,9,29,Hard
3.9594239320450244,2.0,Albert Montanes,Giorgio Galimberti,180,175,3.9322916666666665,107,136,Clay
3.9181398103163887,6.0,Albert Montanes,Markus Hipfl,178,175,3.9322916666666665,107,294,Clay
3.969434093842461,6.0,Albert Montanes,Agustin Calleri,183,175,3.9322916666666665,69,60,Clay
3.8454769086460394,3.0,Albert Montanes,Ernests Gulbis,190,175,3.9322916666666665,50,84,Clay
4.065316330388049,3.0,Albert Montanes,Steve Darcis,178,175,3.9322916666666665,63,56,Clay
3.845684827491149,3.0,Albert Montanes,Bruno Echagaray,183,175,3.9322916666666665,38,358,Clay
4.010588945277918,2.0,Albert Montanes,Marcos Baghdatis,183,175,3.9322916666666665,32,29,Clay
4.0493334494458955,2.0,Albert Montanes,Pablo Cuevas,180,175,3.9322916666666665,34,57,Clay
4.048098623325737,2.0,Albert Montanes,Frederico Gil,178,175,3.9322916666666665,34,133,Clay
3.873863138253683,1.0,Albert Montanes,Matthew Ebden,188,175,3.9322916666666665,69,72,Clay
4.03913560157708,2.0,Albert Montanes,Rogerio Dutra Silva,178,175,3.9322916666666665,53,124,Clay
4.015821381757979,4.0,Albert Montanes,Pablo Andujar,180,175,3.9322916666666665,90,45,Clay
