prediction,w_ace,winner_name,loser_name,loser_ht,winner_ht,avg_aces,winner_rank,loser_rank,surface
5.518930240994614,2.0,Adrian Mannarino,Damir Dzumhur,172.0,183.0,5.5227272727272725,90,120,Hard
5.518930240994614,10.0,Adrian Mannarino,Tommy Haas,188.0,183.0,5.5227272727272725,35,525,Grass
5.518930240994614,5.0,Adrian Mannarino,Vincent Millot,173.0,183.0,5.5227272727272725,39,198,Hard
5.518930240994614,7.0,Adrian Mannarino,Marco Chiudinelli,185.0,183.0,5.5227272727272725,32,339,Grass
5.518930240994614,7.0,Adrian Mannarino,Michael Berrer,193.0,183.0,5.5227272727272725,34,139,Grass
5.518930240994614,6.0,Adrian Mannarino,Guillermo Garcia Lopez,188.0,183.0,5.5227272727272725,57,54,Grass
5.518930240994614,9.0,Adrian Mannarino,James Duckworth,183.0,183.0,5.5227272727272725,55,202,Grass
5.518930240994614,3.0,Adrian Mannarino,Malek Jaziri,185.0,183.0,5.5227272727272725,49,123,Hard
5.518930240994614,6.0,Adrian Mannarino,Illya Marchenko,185.0,183.0,5.5227272727272725,64,68,Hard
3.7010905205500366,1.0,Adrian Ungur,Vasek Pospisil,193.0,178.0,3.7142857142857144,118,29,Clay
6.591914188768578,1.0,Adrian Voinea,Jordi Burillo,188.0,185.0,6.590163934426229,236,118,Clay
6.591914188768578,1.0,Adrian Voinea,Vincent Spadea,183.0,185.0,6.590163934426229,236,88,Clay
6.591914188768578,12.0,Adrian Voinea,Marc Kevin Goellner,196.0,185.0,6.590163934426229,55,80,Carpet
6.591914188768578,11.0,Adrian Voinea,David Nainkin,183.0,185.0,6.590163934426229,67,184,Hard
6.591914188768578,5.0,Adrian Voinea,Johan Van Herck,185.0,185.0,6.590163934426229,128,140,Clay
6.591914188768578,12.0,Adrian Voinea,Filip Dewulf,190.0,185.0,6.590163934426229,176,126,Hard
6.591914188768578,2.0,Adrian Voinea,Fabrice Santoro,178.0,185.0,6.590163934426229,56,85,Clay
6.591914188768578,8.0,Adrian Voinea,Sasa Hirszon,185.0,185.0,6.590163934426229,57,451,Carpet
6.591914188768578,12.0,Adrian Voinea,Sjeng Schalken,193.0,185.0,6.590163934426229,47,63,Clay
6.591914188768578,2.0,Adrian Voinea,Jerome Golmard,188.0,185.0,6.590163934426229,87,92,Clay
6.591914188768578,2.0,Adrian Voinea,Petr Korda,190.0,185.0,6.590163934426229,49,34,Hard
6.591914188768578,4.0,Adrian Voinea,Tomas Carbonell,178.0,185.0,6.590163934426229,100,176,Clay
6.591914188768578,2.0,Adrian Voinea,Franco Squillari,183.0,185.0,6.590163934426229,90,56,Clay
6.591914188768578,3.0,Adrian Voinea,Tuomas Ketola,185.0,185.0,6.590163934426229,79,133,Hard
6.591914188768578,4.0,Adrian Voinea,Marcio Carlsson,175.0,185.0,6.590163934426229,91,134,Clay
6.591914188768578,9.0,Adrian Voinea,Christian Ruud,188.0,185.0,6.590163934426229,175,88,Hard
6.591914188768578,6.0,Adrian Voinea,Sebastien Lareau,183.0,185.0,6.590163934426229,103,164,Hard
6.591914188768578,7.0,Adrian Voinea,Nikolay Davydenko,178.0,185.0,6.590163934426229,138,109,Clay
6.591914188768578,5.0,Adrian Voinea,Ruben Ramirez Hidalgo,183.0,185.0,6.590163934426229,111,184,Clay
6.591914188768578,0.0,Adrian Voinea,Jerome Golmard,188.0,185.0,6.590163934426229,,,Hard
6.591914188768578,6.0,Adrian Voinea,Francisco Clavet,183.0,185.0,6.590163934426229,63,83,Hard
6.591914188768578,4.0,Adrian Voinea,Fernando Verdasco,188.0,185.0,6.590163934426229,65,451,Clay
6.591914188768578,3.0,Adrian Voinea,Juan Ignacio Chela,190.0,185.0,6.590163934426229,59,23,Clay
6.591914188768578,3.0,Adrian Voinea,David Sanchez,183.0,185.0,6.590163934426229,107,74,Hard
6.591914188768578,13.0,Adrian Voinea,Julien Boutter,190.0,185.0,6.590163934426229,107,49,Hard
6.591914188768578,6.0,Adrian Voinea,Filip Prpic,173.0,185.0,6.590163934426229,137,376,Clay
6.591914188768578,14.0,Adrian Voinea,Wayne Arthurs,190.0,185.0,6.590163934426229,79,44,Hard
7.219279422954442,6.0,Agustin Calleri,Borut Urh,190.0,183.0,7.214285714285714,140,382,Clay
7.219279422954442,10.0,Agustin Calleri,Marc Rosset,201.0,183.0,7.214285714285714,124,46,Hard
7.219279422954442,10.0,Agustin Calleri,Felix Mantilla,180.0,183.0,7.214285714285714,102,63,Clay
7.219279422954442,11.0,Agustin Calleri,Davide Sanguinetti,188.0,183.0,7.214285714285714,72,99,Hard
7.219279422954442,7.0,Agustin Calleri,John Van Lottum,185.0,183.0,7.214285714285714,74,199,Clay
7.219279422954442,7.0,Agustin Calleri,Luis Horna,180.0,183.0,7.214285714285714,124,123,Hard
7.219279422954442,6.0,Agustin Calleri,James Blake,185.0,183.0,7.214285714285714,52,26,Hard
7.219279422954442,6.0,Agustin Calleri,Jarkko Nieminen,185.0,183.0,7.214285714285714,56,41,Clay
7.219279422954442,0.0,Agustin Calleri,Arnaud Clement,173.0,183.0,7.214285714285714,57,48,Clay
7.219279422954442,6.0,Agustin Calleri,Mariano Zabaleta,183.0,183.0,7.214285714285714,74,78,Clay
7.219279422954442,6.0,Agustin Calleri,Juan Balcells,190.0,183.0,7.214285714285714,61,105,Clay
7.219279422954442,4.0,Agustin Calleri,Nicolas Lapentti,188.0,183.0,7.214285714285714,41,39,Hard
7.219279422954442,3.0,Agustin Calleri,Mariano Zabaleta,183.0,183.0,7.214285714285714,31,38,Clay
7.219279422954442,14.0,Agustin Calleri,Gaston Gaudio,175.0,183.0,7.214285714285714,61,20,Clay
7.219279422954442,5.0,Agustin Calleri,Felix Mantilla,180.0,183.0,7.214285714285714,61,47,Clay
7.219279422954442,6.0,Agustin Calleri,Jonas Bjorkman,183.0,183.0,7.214285714285714,,,Hard
7.219279422954442,6.0,Agustin Calleri,Julien Benneteau,185.0,183.0,7.214285714285714,94,142,Clay
7.219279422954442,10.0,Agustin Calleri,Razvan Sabau,185.0,183.0,7.214285714285714,56,87,Carpet
7.219279422954442,5.0,Agustin Calleri,Nicolas Almagro,183.0,183.0,7.214285714285714,54,47,Clay
7.219279422954442,4.0,Agustin Calleri,Denis Gremelmayr,183.0,183.0,7.214285714285714,51,133,Clay
7.219279422954442,2.0,Agustin Calleri,Juan Monaco,185.0,183.0,7.214285714285714,65,73,Hard
7.219279422954442,6.0,Agustin Calleri,Justin Gimelstob,196.0,183.0,7.214285714285714,61,99,Clay
